,번호,카테고리,제목,등록일,link
83,5752,[장학],2023년 2학기 푸른등대 KB Dream Wave 2030 인재양성 유망분야 기부장학금 신규장학생 선발 안내,2023-09-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461393&article.offset=0&articleLimit=500
84,5751,[등록],2023학년도 2학기 등록금 납부 안내(추가2차),2023-09-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461285&article.offset=0&articleLimit=500
85,5750,[수업],원스톱서비스-수강신청변경 및 정정 전산 알림,2023-09-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461189&article.offset=0&articleLimit=500
86,5749,[대학원],2023-2학기 대학원별 졸업종합시험 신청 안내,2023-09-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461161&article.offset=0&articleLimit=500
87,5748,[장학],(재)포항시장학회 2023년도 대학교 장학생 선발 안내,2023-08-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461136&article.offset=0&articleLimit=500
88,5747,[장학],2023년 2학기「한국장학재단 취업연계유형 국가근로」선발학생 안내,2023-08-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461117&article.offset=0&articleLimit=500
89,5746,[대학원],"2023학년도 2학기 대학원(일반, 산업, 교육 및 컨설팅) 수강신청 확인 및 변경기간 안내",2023-08-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461009&article.offset=0&articleLimit=500
90,5745,[수업],"2023-2 폐강, 합반 및 분반 과목 안내 및 수강정정 신청 안내",2023-08-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460968&article.offset=0&articleLimit=500
91,5744,,금오공과대학교 학칙 일부 개정(안)에 대한 의견조회,2023-08-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460946&article.offset=0&articleLimit=500
92,5743,[장학],[대구지방보훈청] 2023학년도 2학기 보훈(가족) 장학 안내,2023-08-30,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460898&article.offset=0&articleLimit=500
93,5742,[수업],2023-2학기 원어민 프리토킹 및 영작 첨삭지도 무료 수업 이용 안내,2023-08-30,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460890&article.offset=0&articleLimit=500
94,5741,[대학원],2023-2학기 대학원(일반 및 컨설팅) 외국어시험 장소 안내,2023-08-30,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460862&article.offset=0&articleLimit=500
95,5740,[장학],[(재)달서인재육성장학재단] 2023년도 하반기 장학생 선발 안내,2023-08-29,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460769&article.offset=0&articleLimit=500
96,5739,[장학],[(재)인천인재평생교육진흥원] 2023년도 하반기 장학생 선발 안내,2023-08-29,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460667&article.offset=0&articleLimit=500
97,5738,[학적],2024학년도 전기 학부 외국인 신편입학 특별전형 모집 안내,2023-08-28,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460541&article.offset=0&articleLimit=500
98,5737,[대학원],도서관 논문작성법 온라인 이용교육 안내(9월),2023-08-28,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460445&article.offset=0&articleLimit=500
99,5736,[장학],2023-2학기 학기 중 근로장학생 선발 확정 알림,2023-08-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460171&article.offset=0&articleLimit=500
100,5735,[장학],2023년 2학기 「한국장학재단 취업연계유형 국가근로」 참여학생 모집(~8/30까지),2023-08-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460164&article.offset=0&articleLimit=500
101,5734,,2023-2학기 KIT 서로도움 공동체 프로그램 안내,2023-08-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460093&article.offset=0&articleLimit=500
102,5733,,2023-2학기 Teaching Assistant(TA) 멘토링 프로그램 안내,2023-08-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=460014&article.offset=0&articleLimit=500
103,5732,[등록],2023학년도 2학기 등록금 납부 안내(추가),2023-08-24,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459973&article.offset=0&articleLimit=500
104,5731,,2023-2학기 연구실 레지던트 프로그램 안내,2023-08-24,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459972&article.offset=0&articleLimit=500
105,5730,[수업],2023-2학기 국가공휴일 휴강에 따른 보강일(공휴일지정보강기간) 안내,2023-08-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459237&article.offset=0&articleLimit=500
106,5729,[수업],"2023-2학기 수강신청과목 변경, 정정 신청기간 안내",2023-08-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=459006&article.offset=0&articleLimit=500
107,5728,[대학원],2023학년도 2학기 학부생 일반대학원 교과목 사전이수 신청 안내,2023-08-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=458947&article.offset=0&articleLimit=500
108,5727,[수업],2023-2학기 다른대학(공주대) 수학신청 안내,2023-08-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=458681&article.offset=0&articleLimit=500
109,5726,[수업],"DGU 수강신청(21일 11~18시), OCU수강신청(21일 14~18시) 안내",2023-08-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=458490&article.offset=0&articleLimit=500
110,5725,[수업],2023학년도 2학기 수강꾸러미 확정 안내,2023-08-16,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457884&article.offset=0&articleLimit=500
111,5724,[학적],★ 2023학년도 2학기 휴학/복학 신청(3차) 안내 및 직권제적/휴학연장 관련 안내,2023-08-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457290&article.offset=0&articleLimit=500
112,5723,[수업],2023학년도 2학기 수강신청 안내,2023-08-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457225&article.offset=0&articleLimit=500
113,5722,[장학],[마감]2023-2학기 푸름관 식당 (자체) 근로장학생  모집(8.14.~8.18.),2023-08-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=457198&article.offset=0&articleLimit=500
114,5721,[대학원],2023-2학기 대학원별 외국어시험 시행 안내,2023-08-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456802&article.offset=0&articleLimit=500
115,5720,[대학원],[장학] 2023학년도 2학기 대학원 스마일장학생 선발 결과 안내,2023-08-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456737&article.offset=0&articleLimit=500
116,5719,[수업],[학년별 수강신청] 수강신청 가능여부 확인,2023-08-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456519&article.offset=0&articleLimit=500
117,5718,[대학원],"2023학년도 후기 대학원별(일반, 산업, 교육 및 컨설팅) 신입생 학번 조회 안내",2023-08-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456518&article.offset=0&articleLimit=500
118,5717,[대학원],2022학년도 후기 대학원별 학위수여식 안내,2023-08-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456493&article.offset=0&articleLimit=500
119,5716,[장학],[근로] 2023년 2학기 국가근로장학금 2차 신청기간 안내[8.17.(목)~9.14.(목)],2023-08-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456468&article.offset=0&articleLimit=500
120,5715,[수업],2023학년도 2학기 수강지도 상담 안내,2023-08-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456421&article.offset=0&articleLimit=500
121,5714,[장학],[근로] 2023-2학기 학기 중 부서별 근로장학생 모집 알림[8. 8. ~  8. 18.](신청기간연장),2023-08-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=456277&article.offset=0&articleLimit=500
122,5713,[학적],2022학년도 후기(2023년 8월 졸업) 학위수여식 안내,2023-08-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455994&article.offset=0&articleLimit=500
123,5712,[학적],2023학년도 후기 시간제등록생 모집 공고,2023-08-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455984&article.offset=0&articleLimit=500
124,5711,[수업],[학부] 2023-2학기 장애학생 우선 수강신청 안내,2023-08-02,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455869&article.offset=0&articleLimit=500
125,5710,[학적],2022학년도 후기(2023년 8월) 졸업예정자 졸업사정 내역 열람 안내,2023-08-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455382&article.offset=0&articleLimit=500
126,5709,[대학원],2023-2학기 특수대학원 무논문석사과정 신청 및 논문-무논문 상호변경 신청 안내,2023-07-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455370&article.offset=0&articleLimit=500
127,5708,[대학원],2023-2학기 일반대학원 석사(석박사통합)과정 수업연한 단축 신청 안내,2023-07-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455327&article.offset=0&articleLimit=500
128,5707,[대학원],2023-2학기 대학원별 주요 학사일정 안내,2023-07-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=455321&article.offset=0&articleLimit=500
